#,TYP STAVBY,KAPLE,KOSTEL,KLÁŠTER,OBYTNÝ OBJEKT,ÚČELOVÝ OBJEKT,ZASVĚCENÍ / NÁZEV,MÍSTO,OD,DO,ROKY,ŠÍŘKA,DÉLKA,POZNÁMKA,INVESTOR,NOVOSTAVBA,PŘESTAVBA,PŘÍSTAVBA,DOSTAVBA
JBS-171002,KOSTEL,*,1,*,*,*,SV.LIBORIA,JESENEC,1709,1710,1," 49°36'37.20""S"," 16°51'47.88""V",FARNÍ A POUTNÍ,ZÁBRDOVICKÝ OPAT E.HÁJEK,1,*,*,*
JBS-171003,PALÁC,*,*,*,1,*,zv. ZEMSKÝCH DESEK,"PRAHA 1 - STARÉ MĚSTO,HUSOVA ČP. 241",1709,1710,1," 50° 5'6.32""S"," 14°25'5.45""V",*,HRABĚNKA M.G.LAŽANSKÁ,*,1,*,*
JBS-171004,PALÁC,*,*,*,1,*,TRAUTTMANSDORFFSKÝ,"PRAHA 1 - STARÉ MĚSTO, NÁROŽÍ HUSOVY A MARIÁNSKÉHO NÁMĚSTÍ ČP.159",1708,1710,2," 50° 5'11.89""S"," 14°25'1.94""V",*,x,1,*,*,*
JBS-171101,SVATYNĚ / SCHODY,*,*,*,*,*,BETLÉMSKÁ SVATYNĚ A SVATÉ SCHODY PŘI KOSTELE NA KARLOVĚ,"PRAHA - NOVÉ MĚSTO , KARLOV",1708,1711,3," 50° 4'6.84""S"," 14°25'42.43""V",*,OPAT KLÁŠTERA AUGUSTINIÁNŮ - KANOVNÍKŮ J.V.LUŇÁK,*,*,1,*
JBS-171102,KLÁŠTER,*,*,1,*,*,*,CHRÁST,1709,1711,2," 49°54'3.07""S"," 15°56'14.90""V",BISKUPSKÁ REZIDENCE ,HRADEČTÍ BISKUPOVÉ J.BECKER AJ.A.VRATISLAV Z MITROVIC,1,*,*,*
JBS-171103,KOLEJ,*,*,1,*,*,JEZUITSKÁ,HRADEC KRÁLOVÉ,1710,1711,1," 50°12'31.92""S"," 15°49'59.62""V",*,HRADECKÝ BISKUP J.A.VRATISLAV Z MITROVIC,*,*,*,1
JBS-171104,KAPLE ,1,*,*,*,*,SV.CYRILA A METODĚJE,FILIPOV / ŠINTLOCHY,1710,1711,1," 49°53'49.74""S"," 15°25'21.79""V",*,ŘÁD CISTERCIÁKŮ / ŽĎÁRSKÝ OPAT V.VEJMLUVA,1,*,*,*
JBS-171201,KAPLE,1,*,*,*,*,VŠECH SVATÝCH,SEDLEC / KUTNÁ HORA,1708,1712,4," 49°57'42.48""S"," 15°17'17.28""V",POUTNÍ / HŘBITOVNÍ / KOSTNICE,ŘÁD CISTERCIÁKŮ / SEDLECKÝ OPAT J.SNOPEK,*,1,*,*
JBS-171301,KOSTEL,*,1,*,*,*,POVÝŠENÍ SV.KŘÍŽE,JAROMĚŘICE U JEVÍČKA,1712,1713,1," 49°37'14.70""S"," 16°45'4.23""V",POUTNÍ ,SVOBODNÝ PÁN F.M.A.ŠUBÍŘ Z CHOBYNĚ,1,*,*,*
JBS-171401,KOSTEL,*,1,*,*,*,NANEBEVZETÍ P.MARIE A SV. JAN KŘTITEL,ŽDÁR NAD SÁZAVOU,1703,1714,11," 49°34'59.08""S"," 15°56'16.97""V",KLÁŠTERNÍ ,ŘÁD CISTERCIÁKŮ / SEDLEČTÍ OPATÉ J. SNOPEK B. BLAHNA,*,1,*,*
JBS-171402,KOSTEL,*,1,*,*,*,P.MARIE VÍTĚZNÉ,PRAHA 6 - BÍLÁ HORA,1710,1714,4," 50° 4'33.86""S"," 14°19'18.97""V",POUTNÍ ,PRAŽSKÉ MĚŠŤANSKÉ BRATRSTVO,*,*,*,*
JBS-171403,KATEDRÁLA,*,1,*,*,*,NANEBEVZETÍ P.MARIE ,SEDLEC / KUTNÁ HORA,1703,1714,11," 49°57'35.22""S"," 15°17'22.49""V",KLÁŠTERNÍ,ŘÁD CISTERCIÁKŮ,*,*,*,*
JBS-171404,PALÁC,*,x,*,1,*,MORZINSKÝ,"PRAHA 1 - MALÁ STRANA, NERUDOVA 256-5",1713,1714,1," 50° 5'18.45""S"," 14°24'3.23""V",x,HRABĚ V. MORZIN,*,1,*,*
JBS-171405,KOSTEL,*,1,*,*,*,NEJSVĚTĚJŠÍ TROJICE,RYCHNOV NAD KNĚŽNOU,1710,1714,4," 50°10'2.44""S"," 16°16'34.76""V",PRŮČELÍ / ZÁMECKÝ ,HRABĚ N.L.KOLOWRAT-LIBŠTEJNSKÝ,*,*,1,
JBS-171406,KAPLE,1,*,*,*,*,SV.JAN NEPOMUCKÝ,KŘINEC,1712,1714,2," 50°16'27.23""S"," 15° 8'15.44""V",x,J.V.MORZIN,1,*,*,*
JBS-171407,KLÁŠTER,*,*,1,*,*,*,POHLED,1713,1714,1," 49°36'12.69""S"," 15°39'1.42""V",PROBOŠTSTVÍ ,"CISTERCIAČKY VALLIS VIRGINUM, POHLEDSKÁ ABATYŠE M.C.MARQUART",1,*,*,*
JBS-171501,DOMY,*,*,*,1,*,KANOVNICKÉ,"HRADEC KRÁLOVÉ, ŽIŽKOVO NÁM. ČP. 48-52",1710,1715,5," 50°12'34.51""S"," 15°49'59.96""V",7 MĚŠŤANSKÝCH DOMŮ,HRADECKÝ BISKUP J.A.VRATISLAV Z MITROVIC,*,1,*,*
JBS-171502,SAKRISTIE,1,*,*,*,*,NEJSVĚTĚJŠÍ TROJICE,ŽDÁR NAD SÁZAVOU,1714,1715,1," 49°34'57.57""S"," 15°56'16.23""V",*,ŘÁD CISTERCIÁKŮ / ŽĎÁRSKÝ OPAT V.VEJMLUVA,*,x,1,
JBS-171503,DŮM,*,*,*,1,*,U ANDĚLA ,"KUTNÁ HORA, PRVNÍHO MÁJE ČP.273",1714,1715,1," 15°16'6.28""V"," 15°16'6.28""V",*,MĚŠŤANSKÁ RODINA FATIGATŮ,*,1,*,*
JBS-171601,ZÁMEK,*,*,*,1,*,*,MANĚTÍN,1712,1716,4," 49°59'29.42""S"," 13°13'57.30""V",*,HRABĚ V.J.LAŽANSKÝ,*,1,*,*
JBS-171602,KOSTEL,*,1,*,*,*,SV.JIŘÍ,PIVÍN,1712,1716,4," 49°23'4.36""S"," 17°10'57.28""V",*,HRADIŠŤSKÝ OPAT B.WANKE,1,*,*,*
JBS-171603,KLÁŠTER,*,*,1,*,*,*,HRADEC KRÁLOVÉ,1714,1716,2," 50°12'30.99""S"," 15°49'56.68""V",REZIDENCE,HRADECKÝ BISKUP J.A.VRATISLAV Z MITROVIC,*,*,*,1
